country,Category 1,Category 2,Category 3,Category 4,Category 5
Australia,85,7.3,14.4,63.6,92
Austria,70,7,14.6,80.7,93
Belgium,75,6.9,15.8,70.7,84
Brazil,70,6.6,14.5,37.3,72
Canada,88,7.3,14.4,80.9,91
Chile,57,6.7,14.9,51.1,69
Czech Republic,61,6.6,15.1,68.3,87
Denmark,72,7.5,15.9,83,94
Estonia,51,5.6,14.9,67.2,82
Finland,70,7.5,15.2,82.9,94
France,68,6.4,16.4,69.6,82
Germany,65,7,15.6,75.9,93
Greece,74,5.2,14.7,61.8,69
Hungary,56,5.3,15.1,50.7,76
Iceland,76,7.5,14.2,87,99
Ireland,82,7,15.3,75.5,82
Israel,84,7.2,13.9,70.2,67
Italy,66,5.9,14.9,58.3,71
Japan,35,5.9,14.9,70.6,86
Latvia,46,5.9,13.8,60.7,77
Luxembourg,70,6.9,15.2,72,85
Mexico,66,6.6,12.7,45.9,67
Netherlands,76,7.4,15.9,81.2,93
New Zealand,88,7.3,14.9,64.8,90
Norway,78,7.5,15.6,87.7,96
OECD - Total,69,6.5,14.9,68.6,81
Poland,58,6,14.4,66.3,80
Portugal,46,5.2,14.9,72.1,87
Russia,43,6,14.9,52.2,54
Slovak Republic,66,6.1,15,60.1,82
Slovenia,65,5.8,14.8,84.7,89
South Africa,67,4.8,14.7,36.1,69
South Korea,33,5.9,14.7,63.9,78
Spain,72,6.4,15.9,83.1,73
Sweden,80,7.3,15.2,75.9,95
Switzerland,80,7.5,15,84,96
Turkey,66,5.5,12.6,60.6,63
United Kingdom,70,6.7,14.9,77.4,85
USA,88,6.9,14.4,74.1,84
